Year,Song,Artist,Win
1959,Volare,Domenico Modugno,1
1960,The Battle of New Orleans,Johnny Horton,1
1961,Theme of Exodus,Instrumental (Various Artists),1
1962,Moon River,Henry Mancini,1
1963,What Kind of Fool Am I?,Sammy Davis Jr.,1
1964,Days of Wine and Roses,Henry Mancini,1
1965,"Hello, Dolly!",Louis Armstrong,1
1966,The Shadow of Your Smile,Tony Bennett,1
1967,Michelle,The Beatles,1
1968,"Up, Up, and Away",The 5th Dimension,1
1969,Little Green Apples,O. C. Smith,1
1970,Games People Play,Joe South,1
1971,Bridge over Troubled Water,Simon & Garfunkel,1
1972,You've Got a Friend,James Taylor & Carole King,1
1973,The First Time Ever I Saw Your Face,Roberta Flack,1
1974,Killing Me Softly with His Song,Roberta Flack,1
1975,The Way We Were,Barbra Streisand,1
1976,Send in the Clowns,Judy Collins,1
1977,I Write the Songs,Barry Manilow,1
1978,Evergreen (Love Theme from A Star Is Born) /You Light Up My Life (Tie),Barbra Streisand /Debby Boone,1
1979,Just the Way You Are,Billy Joel,1
1980,What a Fool Believes,The Doobie Brothers,1
1981,Sailing,Christopher Cross,1
1982,Bette Davis Eyes,Kim Carnes,1
1983,Always on My Mind,Willie Nelson,1
1984,Every Breath You Take,The Police,1
1985,What's Love Got to Do with It,Tina Turner,1
1986,We Are the World,USA for Africa,1
1987,That's What Friends Are For,"Dionne Warwick & Friends (Elton John, Gladys Knight & Stevie Wonder)",1
1988,Somewhere Out There,Linda Ronstadt & James Ingram,1
1989,"Don't Worry, Be Happy",Bobby McFerrin,1
1990,Wind Beneath My Wings,Bette Midler,1
1991,From a Distance,Bette Midler,1
1992,Unforgettable,Natalie Cole with Nat King Cole,1
1993,Tears in Heaven,Eric Clapton,1
1994,A Whole New World,Peabo Bryson & Regina Belle,1
1995,Streets of Philadelphia,Bruce Springsteen,1
1996,Kiss from a Rose,Seal,1
1997,Change the World,Eric Clapton,1
1998,Sunny Came Home,Shawn Colvin,1
1999,My Heart Will Go On,Celine Dion,1
2000,Smooth,Santana featuring Rob Thomas,1
2001,Beautiful Day,U2,1
2002,Fallin',Alicia Keys,1
2003,Don't Know Why,Norah Jones,1
2004,Dance with My Father,Luther Vandross,1
2005,Daughters,John Mayer,1
2006,Sometimes You Can't Make It on Your Own,U2,1
2007,Not Ready to Make Nice,Dixie Chicks,1
2008,Rehab,Amy Winehouse,1
2009,Viva la Vida,Coldplay,1
