Album,Artist,Year,Win,Avg_Energy,Avg_Danceability,Avg_Loudness,Avg_Valence,Avg_Tempo
...but seriously,Phil Collins,1991,0,0.7249,0.53965,-6.58645,0.425055,120.92845
...nothing like the sun,Sting,1989,0,0.41357499999999997,0.5651666666666667,-17.605166666666666,0.5475,122.18425
"""awaken, my love!""",Childish Gambino,2018,0,0.4775151515151515,0.6134545454545455,-10.61330303030303,0.48508484848484845,134.21872727272728
1989,Taylor Swift,2016,1,0.6987692307692308,0.6502307692307693,-6.236461538461539,0.4619076923076923,118.55246153846154
21,Adele,2012,1,0.5019189189189189,0.5627567567567567,-6.450432432432432,0.395054054054054,120.07921621621621
24k magic,Bruno Mars,2018,1,0.6903333333333334,0.6905555555555556,-5.385222222222222,0.6958888888888889,136.3101111111111
25,Adele,2017,1,0.5008636363636364,0.4822272727272727,-6.174636363636363,0.2903181818181818,130.37800000000001
4:44,Jay-Z,2018,0,0.7498,0.60205,-6.4159,0.55385,122.9834
52nd street,Billy Joel,1980,1,0.4782222222222222,0.6028888888888889,-15.348444444444445,0.5962222222222222,132.711
7,Lil Nas X,2020,0,0.3359090909090909,0.5489999999999999,-12.299272727272728,0.3759090909090909,128.9901818181818
a man and his music,Frank Sinatra,1967,1,0.21263437500000001,0.4315,-17.71478125,0.438753125,104.0371875
a sailor's guide to earth,Sturgill Simpson,2017,0,0.5861111111111111,0.4572222222222222,-7.576888888888889,0.44122222222222224,107.19533333333334
a tramp shining,Richard Harris,1969,0,0.319,0.3098888888888889,-14.912333333333335,0.26522222222222225,98.40844444444444
abbey road,The Beatles,1970,0,0.4571764705882353,0.518,-11.344411764705882,0.4591764705882353,118.16676470588236
achtung baby,U2,1993,0,0.6411666666666667,0.48791666666666667,-10.422,0.4043333333333333,118.172
acoustic soul,India.Arie,2002,0,0.40189375,0.6638125,-9.9088125,0.51025,116.59831249999999
aja,Steely Dan,1978,0,0.48807142857142854,0.6492142857142857,-12.535428571428572,0.6367142857142857,125.17785714285715
all that you can't leave behind,U2,2002,0,0.664,0.5346521739130435,-7.9968260869565215,0.41847826086956524,126.13008695652174
all things must pass,George Harrison,1972,0,0.57355,0.4738,-9.00855,0.49127,116.8998
american fool,John Cougar,1983,0,0.7018,0.7138,-5.8831999999999995,0.7876,126.8202
american idiot,Green Day,2005,0,0.8722222222222222,0.3922222222222222,-3.7894444444444444,0.5091111111111111,142.2461111111111
american pie,Don McLean,1973,0,0.2826409090909091,0.49168181818181816,-15.211454545454545,0.46504545454545454,110.85136363636363
an innocent man,Billy Joel,1984,0,0.6785,0.635,-6.6872,0.7043,119.228
at san quentin,Johnny Cash,1970,0,0.6058,0.4926,-11.5744,0.6825,127.5616
automatic for the people,R.E.M.,1994,0,0.48591666666666666,0.4791666666666667,-10.66675,0.409,132.32033333333334
babel,Mumford & Sons,2013,1,0.5551111111111111,0.3983055555555556,-8.436861111111112,0.28560555555555556,109.61327777777778
bach's greatest hits,The Swingle Singers,1964,0,NaN,NaN,NaN,NaN,NaN
back home again,John Denver,1975,0,0.28570833333333334,0.5511666666666667,-13.091208333333334,0.5291666666666667,113.994625
back in the high life,Steve Winwood,1987,0,0.5705,0.6970000000000001,-14.1795,0.778375,111.595
back on the block,Quincy Jones & Various Artists,1991,1,0.6125,0.582,-9.509142857142857,0.5175285714285714,120.87907142857144
back to black,Amy Winehouse,2008,0,0.7307,0.5834444444444444,-4.318611111111111,0.5420111111111111,112.84023333333333
bad,Michael Jackson,1988,0,0.6687916666666667,0.5502916666666666,-6.924666666666667,0.67525,114.55529166666666
bad girls,Donna Summer,1980,0,0.5465333333333333,0.7214666666666667,-15.374266666666667,0.7410666666666667,121.63246666666666
band on the run,Paul McCartney & Wings,1975,0,0.22373888888888888,0.1893388888888889,-16.711222222222222,0.08683888888888888,99.50627777777778
beauty and the beast,Various Artists,1993,0,0.36412500000000003,0.4158875,-13.4585625,0.3472375,115.61525
beauty behind the madness,The Weeknd,2016,0,0.5246410256410257,0.551076923076923,-8.373,0.28346666666666664,115.10858974358975
beerbongs & bentleys,Post Malone,2019,0,0.6324,0.6462285714285715,-5.6208857142857145,0.3498857142857143,135.64697142857142
behind closed doors,Charlie Rich,1974,0,0.2994545454545455,0.471,-14.377272727272727,0.3839090909090909,104.34272727272727
belafonte at carnegie hall,Harry Belafonte,1960,0,0.3760157894736842,0.629,-14.456473684210525,0.5289473684210526,120.073
belafonte returns to carnegie hall,Harry Belafonte,1961,0,0.35156315789473686,0.47710526315789475,-17.101315789473684,0.42401052631578945,115.05557894736842
between the lines,Janis Ian,1976,0,0.27352727272727273,0.4602727272727273,-14.796545454545456,0.2902727272727273,117.06090909090909
beyoncé,Beyoncé,2015,0,0.55365,0.5584,-8.5243,0.37472500000000003,129.90505
big whiskey & the groogrux king,Dave Matthews Band,2010,0,0.7569230769230769,0.5547692307692308,-5.821,0.5135384615384615,108.72407692307692
"black panther: the album, music from and inspired by",Various Artists,2019,0,0.6192142857142857,0.6852142857142857,-7.252571428571429,0.4227142857142857,121.264
"blood, sweat & tears","Blood, Sweat & Tears",1970,1,0.40192,0.43555,-9.04375,0.37274,125.6405
blunderbuss,Jack White,2013,0,0.6798076923076923,0.44534615384615384,-10.760923076923076,0.49988461538461537,140.40853846153846
bookends,Simon & Garfunkel,1969,0,0.29118333333333335,0.44908333333333333,-18.823666666666668,0.50825,119.092
born in the u.s.a.,Bruce Springsteen,1985,0,0.8382499999999999,0.5221666666666667,-6.794,0.7618333333333334,129.81716666666668
born this way,Lady Gaga,2012,0,0.8125714285714286,0.6170714285714286,-5.545214285714286,0.4807142857142857,124.78592857142857
brahms: concerto no. 2 in b-flat,Sviatoslav Richter,1961,0,0.137025,0.247525,-21.158,0.11705,97.06675
breakfast at tiffany's soundtrack,Henry Mancini,1962,0,0.40441666666666665,0.53075,-13.642666666666667,0.611,111.46125
breakfast in america,Supertramp,1980,0,0.53395,0.47925,-12.01765,0.5038,111.26235
breakin' away,Al Jarreau,1982,0,0.41788888888888887,0.597,-14.688,0.6048888888888889,111.40877777777777
breezin',George Benson,1977,0,0.6074444444444445,0.6453333333333333,-10.568666666666667,0.6636666666666666,101.543
bridge over troubled water,Simon & Garfunkel,1971,1,0.5128181818181818,0.45536363636363636,-12.867909090909091,0.5669090909090909,121.10118181818181
brothers in arms,Dire Straits,1986,0,0.4742777777777778,0.593,-12.587944444444444,0.47155555555555556,118.35072222222222
by the time i get to phoenix,Glen Campbell,1969,1,0.38627272727272727,0.4016363636363636,-11.796545454545454,0.4681818181818182,96.81109090909091
"by the way, i forgive you",Brandi Carlile,2019,0,0.5972,0.4451,-5.8766,0.3574,111.5698
can't slow down,Lionel Richie,1985,1,0.4455,0.691125,-13.584999999999999,0.5904,109.001375
captain fantastic and the brown dirt cowboy,Elton John,1976,0,0.497,0.5483076923076923,-11.355307692307692,0.535923076923077,127.65861538461539
caribou,Elton John,1975,0,0.6713571428571429,0.5349285714285714,-8.624357142857143,0.6856428571428571,122.78007142857143
carpenters,Carpenters,1972,0,0.26724,0.41659999999999997,-12.8733,0.3246,102.7739
channel orange,Frank Ocean,2013,0,0.48160000000000003,0.551,-10.371235294117646,0.3997735294117647,111.73517647058823
chaos and creation in the backyard,Paul McCartney,2006,0,NaN,NaN,NaN,NaN,NaN
chicago,Chicago,1971,0,0.6171538461538462,0.4153846153846154,-11.213153846153846,0.2878230769230769,121.19123076923077
chicago x,Chicago,1977,0,0.6886153846153846,0.5364615384615384,-7.317846153846154,0.6196153846153846,114.21192307692307
christopher cross,Christopher Cross,1981,1,0.48533333333333334,0.6644444444444445,-14.002666666666666,0.62,122.10055555555556
close to you,Carpenters,1971,0,0.32032083333333333,0.4192916666666667,-14.85125,0.42046666666666666,102.392
color me barbra,Barbra Streisand,1967,0,0.2891,0.2955,-14.6297,0.32111,99.6798
come away with me,Norah Jones,2003,1,0.17262142857142856,0.5686428571428571,-13.599642857142857,0.35842857142857143,101.33214285714286
come dance with me!,Frank Sinatra,1960,1,0.2648125,0.5453749999999999,-13.1485625,0.7045,127.048875
come fly with me,Frank Sinatra,1959,0,NaN,NaN,NaN,NaN,NaN
come on over,Shania Twain,1999,0,0.6365625,0.6423125,-7.5433125,0.7154375000000001,124.946
confessions,Usher,2005,0,0.5641,0.76255,-6.98025,0.62865,113.4458
continuum,John Mayer,2007,0,0.4656666666666667,0.6250833333333333,-9.1115,0.4514166666666667,122.14733333333334
control,Janet Jackson,1987,0,0.5625555555555556,0.7568888888888888,-13.166888888888888,0.6726666666666666,117.24877777777778
cotton candy,Al Hirt,1965,0,0.371334,0.5392,-15.45732,0.652932,118.4453
court and spark,Joni Mitchell,1975,0,0.37527272727272726,0.5601818181818182,-13.131818181818183,0.49563636363636365,109.70409090909091
"crosby, stills & nash","Crosby, Stills & Nash",1970,0,0.2764785714285714,0.5154285714285715,-15.202928571428572,0.3912857142857143,114.92042857142857
cuz i love you (deluxe),Lizzo,2020,0,0.7501666666666666,0.7046111111111111,-4.2572777777777775,0.6402222222222222,125.98111111111112
