"","Year","Album","Artist","Win","Song","Danceability","Energy","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration","Explicit"
"1","2020","when we all fall asleep, where do we go?","billie eilish",1,"!!!!!!!","0","0.278","-21.63","0","0.768","0","0.669","0","0","13578","FALSE"
"2","2020","when we all fall asleep, where do we go?","billie eilish",1,"bad guy","0.701","0.425","-10.965","0.375","0.328","0.13","0.1","0.562","135.128","194087","FALSE"
"3","2020","when we all fall asleep, where do we go?","billie eilish",1,"xanny","0.521","0.125","-17.832","0.239","0.751","0.00207","0.265","0.0528","111.554","243725","FALSE"
"4","2020","when we all fall asleep, where do we go?","billie eilish",1,"you should see me in a crown","0.678","0.533","-10.485","0.186","0.462","0.219","0.139","0.323","150.455","180952","FALSE"
"5","2020","when we all fall asleep, where do we go?","billie eilish",1,"all the good girls go to hell","0.726","0.444","-8.922","0.372","0.283","0.143","0.177","0.569","185.044","168839","FALSE"
"6","2020","when we all fall asleep, where do we go?","billie eilish",1,"wish you were gay","0.853","0.351","-10.198","0.241","0.39","9.38e-06","0.752","0.282","118.028","221543","FALSE"
"7","2020","when we all fall asleep, where do we go?","billie eilish",1,"when the party's over","0.367","0.111","-14.084","0.0972","0.978","3.97e-05","0.0897","0.198","82.642","196077","FALSE"
"8","2020","when we all fall asleep, where do we go?","billie eilish",1,"8","0.735","0.235","-13.239","0.315","0.698","0.00604","0.107","0.462","62.446","173201","FALSE"
"9","2020","when we all fall asleep, where do we go?","billie eilish",1,"my strange addiction","0.939","0.305","-10.952","0.354","0.35","0.000169","0.105","0.563","100.029","179889","FALSE"
"10","2020","when we all fall asleep, where do we go?","billie eilish",1,"bury a friend","0.905","0.389","-14.505","0.332","0.74","0.162","0.106","0.196","120.046","193143","FALSE"
"11","2020","when we all fall asleep, where do we go?","billie eilish",1,"ilomilo","0.855","0.423","-15.044","0.0585","0.724","0.469","0.0896","0.572","120.02","156370","FALSE"
"12","2020","when we all fall asleep, where do we go?","billie eilish",1,"listen before i go","0.319","0.0561","-23.023","0.045","0.935","0.00384","0.388","0.082","79.764","242652","FALSE"
"13","2020","when we all fall asleep, where do we go?","billie eilish",1,"i love you","0.421","0.131","-18.435","0.0382","0.952","0.00453","0.109","0.12","137.446","291796","FALSE"
"14","2020","when we all fall asleep, where do we go?","billie eilish",1,"goodbye","0.153","0.138","-21.877","0.0503","0.837","0.55","0.254","0.0503","74.318","119409","FALSE"
"15","2020","i, i","bon iver",0,"Yi","0.661","0.407","-21.583","0.747","0.73","0","0.862","0.277","78.382","31546","FALSE"
"16","2020","i, i","bon iver",0,"iMi","0.489","0.396","-11.57","0.053","0.889","0.00713","0.203","0.523","134.131","196360","FALSE"
"17","2020","i, i","bon iver",0,"We","0.649","0.424","-12.007","0.0754","0.908","0.000559","0.257","0.292","120.136","142880","FALSE"
"18","2020","i, i","bon iver",0,"Holyfields,","0.565","0.413","-11.892","0.0546","0.955","0.134","0.147","0.314","142.454","187533","FALSE"
"19","2020","i, i","bon iver",0,"Hey, Ma","0.411","0.285","-10.97","0.0306","0.872","0.000354","0.0993","0.213","72.139","216706","FALSE"
"20","2020","i, i","bon iver",0,"U (Man Like)","0.606","0.264","-10.152","0.0243","0.943","5.63e-05","0.118","0.319","95.021","145720","FALSE"
"21","2020","i, i","bon iver",0,"Naeem","0.37","0.408","-10.355","0.0441","0.804","0.0279","0.678","0.164","125.068","262266","FALSE"
"22","2020","i, i","bon iver",0,"Jelmore","0.323","0.242","-10.955","0.073","0.979","0.00675","0.0911","0.261","80.509","150080","FALSE"
"23","2020","i, i","bon iver",0,"Faith","0.453","0.362","-11.154","0.0319","0.768","0.0148","0.0998","0.181","134.949","217946","FALSE"
"24","2020","i, i","bon iver",0,"Marion","0.297","0.0682","-13.147","0.0377","0.938","3.04e-05","0.108","0.235","79.694","141666","FALSE"
